first_name,last_name,state,district,party,chamber
Anna,Luna,Florida,13,Republican,House
Laurel,Lee,Florida,15,Republican,House
Michael,Lawler,New York,17,Republican,House
Nicholas,Langworthy,New York,23,Republican,House
Greg,Landsman,Ohio,1,Democratic,House
Nick,LaLota,New York,1,Republican,House
Thomas,Kean,New Jersey,7,Republican,House
John,James,Michigan,10,Republican,House
Jonathan,Jackson,Illinois,1,Democratic,House
Glenn,Ivey,Maryland,4,Democratic,House
Val,Hoyle,Oregon,4,Democratic,House
Erin,Houchin,Indiana,9,Republican,House
Daniel,Goldman,New York,10,Democratic,House
Maxwell,Frost,Florida,10,Democratic,House
Valerie,Foushee,North Carolina,4,Democratic,House
Mike,Ezell,Mississippi,4,Republican,House
Chuck,Edwards,North Carolina,11,Republican,House
Donald,Davis,North Carolina,1,Democratic,House
Mike,Collins,Georgia,10,Republican,House
Eric,Burlison,Missouri,7,Republican,House
Nikki,Budzinski,Illinois,13,Democratic,House
Josh,Brecheen,Oklahoma,2,Republican,House
Mark,Alford,Missouri,4,Republican,House
Patrick,Ryan,New York,18,Democratic,House
Mariannette,Miller-Meeks,Iowa,1,Republican,House
Lisa,McClain,Michigan,9,Republican,House
Ashley,Hinson,Iowa,2,Republican,House
Carlos,Gimenez,Florida,28,Republican,House
Rashida,Tlaib,Michigan,12,Democratic,House
Claudia,Tenney,New York,24,Republican,House
Brian,Mast,Florida,21,Republican,House
John,Rutherford,Florida,5,Republican,House
Darin,LaHood,Illinois,16,Republican,House
Ryan,Zinke,Montana,1,Republican,House
Debbie,Dingell,Michigan,6,Democratic,House
John,Moolenaar,Michigan,2,Republican,House
Richard,Hudson,North Carolina,9,Republican,House
Lois,Frankel,Florida,22,Democratic,House
Bill,Huizenga,Michigan,4,Republican,House
Tim,Walberg,Michigan,5,Republican,House
Jerrold,Nadler,New York,12,Democratic,House
Debbie,Wasserman Schultz,Florida,25,Democratic,House
Mario,Diaz-Balart,Florida,26,Republican,House
Dale,Strong,Alabama,5,Republican,House
